,150319738,015031972X,QNTR50001,QNTR50002,QNTR50003,QNTR50004,QNTR50005,QNTR50006,QNTR50007,QNTR50008,QNTR50009,QNTR50010,QNTR50011,QNTR50012,QNTR50013,QNTR50014,QNTR50015,QNTR50020,QNTR50021,QNTR50022,QNTR50025,QNTR50026,QNTR50027,QNTR50028,QNTR50029,QNTR50030,QNTR50031,QNTR50032,QNTR50050,QNTR50051,QNTR50052,QNTR50053,QNTR50054,QNTR50055,QNTR50056,QNTR50057,QNTR50058,QNTR50061,QNTR50062,QNTR50063,QNTR50064,QNTR50065,QNTR50070,QNTR50071,QNTR50072,QNTR50073,QNTR50074,QNTR50075,QNTR50076,QNTR50077,QNTR50078,QNTR50079,QNTR50080,QNTR50081,QNTR50082,QNTR50083,QNTR50084,QNTR50100,QNTR50101,QNTR50110,QNTR50111,QNTR50112,QNTR50113,QNTR50114,QNTR50115,QNTR50116,QNTR50117,QNTR50118,QNTR50119,QNTR50120,QNTR50121,QNTR50122,QNTR50123,QNTR50124,QNTR50125,QNTR50150,QNTR50151,QNTR50152,QNTR50153,QNTR50154,QNTR50155,QNTR50156,QNTR50157,QNTR50158,QNTR50159,QNTR50160,QNTR50161,QNTR50162,QNTR50163,QNTR50164,QNTR50170,QNTR50171,QNTR50172,QNTR50173,QNTR50174,QNTR50175,QNTR50176,QNTR50177,QNTR50178,QNTR50179,QNTR50180,QNTR50181,QNTR50182,QNTR50183,QNTR50184,QNTR50185,QNTR50186,QNTR50187,QNTR50188,QNTR50189,QNTR50190,QNTR50191,QNTR50192,QNTR50193,QNTR50194,QNTR50195,QNTR50196,QNTR50197,QNTR50198,QNTR50199,QNTR50200,QNTR50201,QNTR50202,QNTR50203,QNTR50204,QNTR50205,QNTR50206,QNTR50207,QNTR50208,QNTR50209,QNTR50210,QNTR50211,QNTR50212,QNTR50213,QNTR50214,QNTR50215,QNTR50216,QNTR50217,QNTR50218,QNTR50219,QNTR50220,QNTR50221,QNTR50222,QNTR50223,QNTR50224,QNTR50225,QNTR50226,QNTR50227,QNTR50228,QNTR50229,QNTR50230,QNTR50231,QNTR50232,QNTR50233,QNTR50234,QNTR50235,QNTR50236,QNTR50237,QNTR50238,QNTR50239,QNTR50240,QNTR50241,QNTR50242,QNTR50243,QNTR50244,QNTR50245,QNTR50246,Grand Total
150319738,1,0.327750879,0.002143923,0.002140856,0.002169973,0.002120798,0.002252539,0.002268968,0.002139327,0.002306641,0.002059507,0,0.002114006,0,0,0,0,0.002496091,0.003276831,0.002588269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001551066,0,0.001006525,0.000966564,0,0.000996981,0.001142443,0.000966247,0.001827027,0.001202156,0.001112402,0.001204177,0.001214561,0.001522027,0.001621523,0.001264662,0.002342119,0.001215351,0,0.001475153,0.003628396,0,0.001241359,0,0.001514005,0.001964636,0.002289827,0,0.00225685,0.002053602,0.002345308,0,0,0,0,0,0,0,0,0,0,0.047187213,0.00934593,0,0,0,0.017329544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23654961,0.24830353,0.247479939,0.20572491,0.218418057,0.237940523,0.227869016,0.143081008,0.132839141,0.193747676,0.185227255,0.142945919,0.15195793,0.272680816,0.323698798,0.000713859,0.000715464,0.000759311,0.000778884,0.000777638,0.002633883,0.00189039,0.00122283,0.000887076,0.000613921,0.000696605,0.000785784,0.000861698,0.000782916,0.001054326,0.001119516,0,0,0,0,0,0,0,0,0,0,0,0.000829962,0.000705479,0.000703189,0.000716983,0.000725417,0.030263759
015031972X,0.327750879,1,0.000693745,0.000692752,0.001404349,0.000686262,0.000728891,0.000734208,0.000692258,0.000746398,0.000666429,0,0.000684064,0,0,0,0,0,0,0,0.001177948,0.001483843,0,0.003477468,0.001233151,0,0,0,0,0,0.000573348,0.000588652,0,0,0.000664287,0,0,0,0.000735407,0.005250737,0,0,0.000820027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000544095,0.000570545,0.008281422,0.004365684,0.006025416,0.006568112,0.004372081,0.007097414,0.006099709,0.004689971,0.007685621,0.005835022,0.007379145,0.007273569,0.007336294,0.007880121,0.005771734,0.006956873,0.000757879,0.000786543,0,0.00047734,0.0011741,0,0.000401687,0,0.000489912,0.00063573,0.000740957,0,0.000730286,0.000664518,0.00075891,0.002757949,0.003035469,0.003904817,0.00291426,0.003479371,0.00219282,0.001272677,0.001607157,0.003192909,0.003267465,0.172802103,0.06586075,0.003438268,0.005243901,0.001181833,0.115603013,0.000776383,0.000744186,0.002138767,0,0,0.000477683,0,0,0,0,0,0,0,0,0.459742658,0.344877061,0.465926979,0.420129596,0.364984911,0.476271197,0.47015422,0.323465214,0.200011697,0.179503272,0.220972787,0.289365103,0.356670222,0.132053678,0.172182909,0.003603524,0.003611629,0.003636401,0.003125251,0.003522867,0.005113735,0.00367023,0.003956914,0.006889106,0.003973134,0.004057414,0.001525616,0.003346007,0.002533411,0.001364664,0.000724521,0.002755757,0.004186966,0.006420086,0,0,0,0,0,0,0,0,0.004744639,0.00429173,0.004732888,0.003990508,0.003661869,0.046710699
QNTR50001,0.002143923,0.000693745,1,0.979622056,0.979288762,0.957180072,0.961704217,0.963095853,0.956875178,0.955496509,0.970346898,0.25818469,0.9574405,0.317546511,0.212417599,0.172967773,0.214490645,0.036524378,0.040988365,0.034818889,0.065294976,0.119047619,0.111631529,0.077991703,0.100283876,0.115452107,0.070481721,0.091037721,0.114540532,0.123717915,0.300249714,0.280786663,0.099248974,0.099804995,0.242493427,0.123205623,0.094846583,0.392639538,0.440631372,0.092869284,0.418917673,0.164039628,0.350781308,0.352904984,0.366064602,0.368782799,0.366692419,0.354479789,0.381848649,0.354258533,0.37192867,0.378447853,0.143739894,0.140590124,0.074051602,0.076360355,0.077170426,0.074804185,0.07323901,0.191087202,0.0851758,0.205065209,0.191448838,0.09320014,0.203473645,0.217118093,0.204156584,0.205465359,0.184205803,0.217315888,0.202822593,0.203138418,0.219479636,0.215649102,0.198783128,0.211155841,0.600059098,0.334054834,0.615879151,0.352383201,0.382465263,0.600009256,0.34639361,0.615305806,0.567073376,0.564741328,0.382465263,0.3414219,0.565853416,0.56680095,0.042242107,0.031825395,0.032071014,0.032015886,0.035527846,0.039983706,0.047340034,0.050550753,0.033630184,0.025469896,0.049979164,0.003431143,0.031346561,0.030214938,0.04137496,0,0.021376341,0.012212485,0.02612873,0.010615895,0.015469775,0.014807063,0.012502072,0.014111782,0.006466839,0.011695661,0.007321228,0.016213693,0.013961253,0.005918607,0.017391935,0.012171217,0.013097502,0.020068643,0.026394831,0.021276005,0.01597408,0.016807886,0.014076133,0.02021589,0.015800788,0.012945473,0.010982159,0.026267527,0.023023513,0.237654931,0.236433362,0.241460873,0.247390964,0.248610466,0.081929916,0.066179104,0.073304473,0.053805276,0.028688547,0.029593033,0.025963431,0.054096267,0.046194025,0.024883171,0.024836401,0.018843098,0.027082319,0.018009747,0.011396453,0.008638154,0.013896842,0.005649759,0.006662804,0.014254074,0.004694139,0.015316675,0.238646348,0.238661339,0.237787272,0.243027127,0.240646781,0.526519839
QNTR50002,0.002140856,0.000692752,0.979622056,1,0.987007856,0.959059563,0.976431244,0.971699782,0.962648874,0.96554547,0.954559476,0.280253978,0.960637781,0.316043426,0.215115333,0.162900114,0.215810517,0.037060388,0.040929728,0.034769079,0.067346356,0.120498369,0.114789448,0.078196717,0.101487595,0.117116897,0.070380893,0.092224986,0.114376676,0.123540929,0.292095018,0.27202488,0.104574965,0.104473498,0.222794156,0.123029371,0.101318637,0.382790045,0.43263643,0.078395744,0.420141431,0.17032315,0.357744958,0.359509961,0.372928836,0.375797417,0.373309416,0.360852013,0.388758974,0.360651159,0.377894336,0.384808863,0.144901259,0.140389002,0.071045837,0.077406437,0.07706003,0.076480395,0.075004147,0.194469279,0.087968572,0.210524204,0.196243345,0.096106319,0.209174071,0.223067381,0.209443618,0.209477231,0.187696211,0.223624609,0.207356897,0.207523049,0.223948324,0.221646052,0.204459682,0.216649489,0.59805498,0.33609859,0.617431672,0.365133352,0.383728164,0.598419524,0.347029693,0.616744837,0.572281286,0.572837647,0.383728164,0.346784129,0.571335641,0.574833706,0.044477279,0.032263474,0.032643381,0.032434381,0.036513688,0.039726875,0.049010264,0.050185809,0.034471212,0.025805294,0.049093954,0.00244731,0.031301718,0.029980754,0.041530957,0,0.021204398,0.012195014,0.026091352,0.013629482,0.015447645,0.015481687,0.013229512,0.014091594,0.005283481,0.012310223,0.006823371,0.016736246,0.015136247,0.00591014,0.018756419,0.013054087,0.014139206,0.021332832,0.028159265,0.022675559,0.01680196,0.018004484,0.015972723,0.023070823,0.016830063,0.013710406,0.011651852,0.03147594,0.026125655,0.242025586,0.24071519,0.249096561,0.251222259,0.252579939,0.084047352,0.080043839,0.073775982,0.054564543,0.03009435,0.031028234,0.027963354,0.055034272,0.047235013,0.026089953,0.026120066,0.018816142,0.026802832,0.017983983,0.01138015,0.008625797,0.013876962,0.005641676,0.006653272,0.014233682,0.004687424,0.015294763,0.246324516,0.242842246,0.244606313,0.247072769,0.245362962,0.532641639
QNTR50003,0.002169973,0.001404349,0.979288762,0.987007856,1,0.963237848,0.977156265,0.974436902,0.965520924,0.969953419,0.959998711,0.263178479,0.965034256,0.322468037,0.217026932,0.162188105,0.214898429,0.037564439,0.039920881,0.035860247,0.067827529,0.124328048,0.117695773,0.080543823,0.103778244,0.121182903,0.071338131,0.0943696,0.115932291,0.125221187,0.286332855,0.266381724,0.100454929,0.101017706,0.217487718,0.12470267,0.096743223,0.409850512,0.445035336,0.078492942,0.441064828,0.168618127,0.359886461,0.361892971,0.375721895,0.378914282,0.376741568,0.363541247,0.392328686,0.363966933,0.381647458,0.388993135,0.148257619,0.145607672,0.073481753,0.077288194,0.079702152,0.077721421,0.076656045,0.191463858,0.084867907,0.212185321,0.193428758,0.093452355,0.206541404,0.221052548,0.2073874,0.20654351,0.186372259,0.220886499,0.205574701,0.205896844,0.222631261,0.218463084,0.200518778,0.207567268,0.604301932,0.334827664,0.624243529,0.364032259,0.39200494,0.604037984,0.346396869,0.62368642,0.584053896,0.581996177,0.39200494,0.348805118,0.582785471,0.583492275,0.04246453,0.031931994,0.032022045,0.032001524,0.035025524,0.040874235,0.047445496,0.051609898,0.033553539,0.025477862,0.051686156,0.004465072,0.032235086,0.031549861,0.041877699,0,0.021779365,0.013459621,0.026446215,0.009209903,0.015289328,0.014810663,0.012276252,0.014283251,0.006545416,0.011197893,0.007410186,0.015857533,0.013525283,0.005990523,0.017955326,0.013687896,0.01433151,0.021404562,0.027857239,0.022362777,0.01703048,0.01824936,0.016837563,0.023384605,0.017592058,0.014293932,0.012157689,0.028359145,0.025421746,0.24156578,0.240434214,0.246462577,0.251848215,0.252634389,0.084183783,0.071498957,0.074633342,0.055306665,0.030063701,0.031117436,0.027405146,0.055576943,0.048064469,0.026696653,0.026742748,0.020089233,0.027736748,0.019686866,0.011534929,0.008743115,0.0140657,0.005718408,0.007537146,0.014427272,0.004751176,0.015502785,0.242999995,0.242740928,0.242490722,0.24700773,0.244506577,0.533166482
QNTR50004,0.002120798,0.000686262,0.957180072,0.959059563,0.963237848,1,0.951681855,0.965774405,0.991838415,0.945459772,0.980075243,0.262658163,0.998195479,0.276717794,0.206657391,0.171674389,0.217011563,0.037878672,0.042076311,0.03565187,0.065015642,0.122045882,0.117000534,0.079973062,0.099202213,0.115415377,0.070463223,0.091795996,0.250644608,0.270727118,0.359888244,0.342525847,0.106303589,0.106899132,0.339567402,0.284379027,0.092368937,0.474990472,0.472224051,0.113650633,0.449407134,0.188660273,0.349660163,0.351242135,0.364980061,0.368053591,0.365953026,0.352824735,0.381087626,0.353544211,0.370627297,0.377784777,0.142189513,0.139073717,0.07325288,0.074392235,0.076338065,0.079885729,0.079035331,0.188935603,0.083469643,0.200679735,0.18622465,0.091191206,0.195459982,0.213709375,0.19625854,0.203142571,0.181868132,0.208089699,0.201197211,0.201514478,0.218415237,0.211808836,0.194203207,0.205324099,0.585783967,0.320459654,0.584095374,0.361288919,0.377144601,0.586147311,0.335557633,0.583926464,0.567837009,0.562659472,0.377144601,0.3443255,0.56909926,0.564520253,0.041360091,0.030660853,0.030500189,0.030684964,0.033661264,0.040541252,0.04705898,0.051310004,0.032454394,0.024753157,0.048902696,0.002909258,0.032248795,0.030645724,0.04199454,0,0.022406119,0.014228452,0.025846905,0.011501524,0.01620309,0.015681285,0.013474738,0.015907419,0.006978641,0.013445649,0.008690713,0.016939869,0.014402552,0.006505298,0.016172084,0.012039938,0.012606064,0.018144467,0.0238785,0.018820448,0.013694879,0.013603578,0.008228,0.011427338,0.010941252,0.009313341,0.007468798,0.018188944,0.013458062,0.232791665,0.231076992,0.236055574,0.247086544,0.249015317,0.083136941,0.069143121,0.071371861,0.053432033,0.030099058,0.031225432,0.026600653,0.056932774,0.051544835,0.025107076,0.025613984,0.019882513,0.026472224,0.019240733,0.012917588,0.009202289,0.016137725,0.00558882,0.007754046,0.016236743,0.005675399,0.017482464,0.233327279,0.233913038,0.232891284,0.240372355,0.241506088,0.526461227
QNTR50005,0.002252539,0.000728891,0.961704217,0.976431244,0.977156265,0.951681855,1,0.962564683,0.957078771,0.983599195,0.941371377,0.280901329,0.952390507,0.323334526,0.212651844,0.167751433,0.212235168,0.037755839,0.039814746,0.035941089,0.069054305,0.128490086,0.123570274,0.081609841,0.105364488,0.123226591,0.076415865,0.098422362,0.120343419,0.129985749,0.26295744,0.268172188,0.09780478,0.098352711,0.219145316,0.129447503,0.098879235,0.381295033,0.41984334,0.075444012,0.409155551,0.170561149,0.347501518,0.348667024,0.361966262,0.364349324,0.362385961,0.350065916,0.37730065,0.350098099,0.365943413,0.373291577,0.142392254,0.137407202,0.070175459,0.076582176,0.076115972,0.076300745,0.078479712,0.198748899,0.088654637,0.21401917,0.198811235,0.09685585,0.210259226,0.225993134,0.211504658,0.212590149,0.192494761,0.225291384,0.21250086,0.212827535,0.230221567,0.22546865,0.20705077,0.215174646,0.56144646,0.291092585,0.596419208,0.375634078,0.319949895,0.560994603,0.300441253,0.59560878,0.578508265,0.578305687,0.319949895,0.352563252,0.577461795,0.580977416,0.038343797,0.029803206,0.028817069,0.029101655,0.029934931,0.035287873,0.043399183,0.048185462,0.030152611,0.024491115,0.051084288,0.00257498,0.022395562,0.024110656,0.035546689,0,0.017699725,0.008554132,0.020486919,0.01115372,0.016635945,0.015923275,0.013723611,0.015861139,0.006794464,0.012952417,0.007692138,0.017226522,0.014878113,0.006218457,0.017542128,0.012787838,0.013761051,0.021765539,0.028206106,0.022783779,0.017454698,0.018301572,0.01613374,0.023262938,0.017708045,0.014425643,0.0122597,0.029438187,0.026389023,0.245163534,0.243656991,0.248723139,0.254477883,0.255536483,0.085819428,0.069375639,0.07565375,0.056091244,0.030446439,0.032301429,0.027863344,0.055554873,0.04931087,0.026405248,0.026649876,0.009238942,0.023810483,0.016083838,0.013221097,0.009075783,0.015870531,0.005935988,0.007000357,0.015883867,0.004931955,0.017330549,0.245934649,0.245854278,0.244742583,0.250468043,0.24812566,0.529531353
QNTR50006,0.002268968,0.000734208,0.963095853,0.971699782,0.974436902,0.965774405,0.962564683,1,0.965840588,0.971088399,0.948837607,0.262566081,0.964793235,0.280859119,0.211021632,0.170199417,0.213783147,0.039901606,0.041742087,0.038142692,0.06228393,0.117973515,0.1230651,0.084553795,0.096614332,0.113135102,0.053960607,0.091693072,0.121221168,0.130933826,0.235887341,0.212876435,0.104313324,0.104897717,0.203309816,0.130391655,0.098822302,0.365619339,0.381466484,0.070927993,0.356107819,0.10092052,0.348770137,0.34957199,0.363244593,0.369787132,0.363996967,0.350962147,0.378974914,0.351654479,0.372237002,0.374916935,0.14343082,0.138409409,0.07990738,0.075916287,0.076671139,0.072657409,0.070684485,0.198551985,0.085369755,0.209609283,0.193923922,0.093267093,0.203761849,0.222647758,0.203996872,0.211630811,0.189469791,0.217626592,0.210140716,0.210436055,0.226958587,0.224480541,0.203348887,0.21469655,0.570246739,0.307342006,0.558580972,0.345747593,0.346582668,0.570357368,0.321821966,0.55722074,0.554511441,0.560789851,0.346582668,0.321876092,0.562951328,0.562954464,0.043337352,0.032217209,0.032172417,0.032266394,0.035768856,0.042738934,0.048995993,0.053344082,0.034286895,0.026246087,0.050881944,0.003112513,0.03450186,0.032584403,0.043788176,0,0.02217366,0.014073654,0.026827248,0.012305079,0.016949895,0.016408137,0.014021188,0.01667147,0.006844021,0.013715959,0.008264791,0.017737771,0.014986629,0.006959792,0.018038202,0.013358187,0.014236053,0.019183754,0.025785529,0.020784867,0.014877083,0.015200838,0.00880285,0.01222571,0.011705664,0.009964018,0.008353815,0.019459716,0.01439831,0.243492577,0.242324676,0.24712342,0.256333968,0.257322595,0.086840097,0.07224251,0.075441963,0.056278787,0.029595109,0.031319062,0.027085222,0.056820998,0.050452742,0.02554446,0.026005369,0.020739817,0.028236658,0.019822581,0.013317528,0.009845208,0.017265188,0.005979284,0.007880994,0.016913989,0.006071911,0.018080415,0.244757064,0.244581388,0.243506662,0.249035535,0.250080367,0.525527521
QNTR50007,0.002139327,0.000692258,0.956875178,0.962648874,0.965520924,0.991838415,0.957078771,0.965840588,1,0.949102578,0.980715841,0.246191153,0.992478563,0.266907939,0.195965121,0.166824536,0.196691667,0.037033927,0.038585382,0.035353802,0.064297711,0.117712505,0.109403096,0.073711847,0.098273956,0.115204631,0.069582443,0.089526019,0.252834417,0.273092383,0.358651057,0.341234225,0.103134281,0.103712069,0.339875054,0.286863564,0.092442269,0.470024893,0.469258013,0.112732839,0.448428785,0.186060585,0.34913418,0.350912911,0.364316977,0.36700924,0.364933245,0.352470055,0.380014063,0.35255901,0.36942272,0.376602016,0.144797799,0.141376274,0.07244399,0.077351169,0.078576539,0.078009742,0.077442026,0.187116093,0.0807568,0.200714468,0.186258231,0.08923985,0.195348012,0.212616939,0.196437195,0.202013028,0.180342821,0.209514755,0.200780833,0.201082122,0.217216955,0.212800128,0.194708571,0.20491164,0.583603174,0.317499784,0.582076649,0.363163642,0.377425028,0.583813506,0.332458313,0.581183861,0.572798037,0.566227105,0.377425028,0.338564059,0.573829499,0.568347643,0.041147951,0.030307392,0.030395978,0.030422805,0.033610044,0.039100039,0.046196532,0.049857557,0.032259514,0.024449222,0.047974726,0.002445563,0.031279368,0.030531819,0.041286271,0,0.021047996,0.012186307,0.025294432,0.009584269,0.013620543,0.01373236,0.011916679,0.015063965,0.005279709,0.011670591,0.006818499,0.014724652,0.01313525,0.00590592,0.017007561,0.012594947,0.013422655,0.017872332,0.02408712,0.019393153,0.013814527,0.014332315,0.008299885,0.011527175,0.011036843,0.009003262,0.00753405,0.018347855,0.013575641,0.232774474,0.231545692,0.23629395,0.247117475,0.247931051,0.079273134,0.064553264,0.069835553,0.052854302,0.029639119,0.030677973,0.025907777,0.051545108,0.047385667,0.024084938,0.024255862,0.018802707,0.02622236,0.017971142,0.011608942,0.008619638,0.015072884,0.005637648,0.004693074,0.015085551,0.003643171,0.016459523,0.233411197,0.233497748,0.23260753,0.240040941,0.240745966,0.525229955
QNTR50008,0.002306641,0.000746398,0.955496509,0.96554547,0.969953419,0.945459772,0.983599195,0.971088399,0.949102578,1,0.932342855,0.256564387,0.945473393,0.330723848,0.227461567,0.172402958,0.216164276,0.036761233,0.037442787,0.034832678,0.065166775,0.125172069,0.125823337,0.08288778,0.103056833,0.119614102,0.066957261,0.093215514,0.123233884,0.133107807,0.253976213,0.258676927,0.099417476,0.099974441,0.213983353,0.132556634,0.101254162,0.363648591,0.398620545,0.078286142,0.381662695,0.169161543,0.33847384,0.339056174,0.35197139,0.358261214,0.352552908,0.340280736,0.367008173,0.340598468,0.359257121,0.362549642,0.139920891,0.133672137,0.068736576,0.074687202,0.074555285,0.077279455,0.079469246,0.202931767,0.088071885,0.21717884,0.199843529,0.09668703,0.21334737,0.229535542,0.21425383,0.217580258,0.193913016,0.228160361,0.214852894,0.215163684,0.231886364,0.227590129,0.207688604,0.20666431,0.542990903,0.266257486,0.577219835,0.342274948,0.273678903,0.542790306,0.274737645,0.576852533,0.555736511,0.554111443,0.273678903,0.322349358,0.554829595,0.55622234,0.038491828,0.02992354,0.029109538,0.029085989,0.030653922,0.037641077,0.043817385,0.049500447,0.030803138,0.025319731,0.052603496,0.004218923,0.024012691,0.025307001,0.036168616,0,0.018277155,0.01021952,0.022237723,0.012509389,0.017231326,0.016867995,0.014253991,0.017301367,0.006957657,0.014283784,0.008402017,0.018032283,0.01566463,0.00707535,0.018337702,0.013579982,0.014472424,0.021591804,0.028398135,0.023110907,0.017186474,0.018741148,0.015832863,0.022785953,0.017566697,0.013928004,0.011815679,0.029203208,0.025896895,0.245867809,0.244931107,0.25076384,0.2556852,0.256105704,0.08801444,0.075202048,0.078247098,0.056762723,0.028995276,0.031131539,0.027734464,0.056232802,0.049898841,0.026504026,0.027005695,0.010271777,0.024382374,0.017438979,0.013538648,0.010008675,0.018201922,0.006078562,0.008433523,0.017659548,0.006172727,0.019014431,0.247591576,0.246850964,0.246549853,0.251313442,0.248964502,0.526430408
QNTR50009,0.002059507,0.000666429,0.970346898,0.954559476,0.959998711,0.980075243,0.941371377,0.948837607,0.980715841,0.932342855,1,0.24537564,0.980051493,0.280828185,0.194909865,0.172270082,0.19143947,0.038481697,0.040860302,0.036381944,0.064374658,0.117998925,0.109789346,0.077661833,0.098495243,0.113840278,0.069147111,0.08998804,0.243400954,0.262903078,0.382226779,0.366446282,0.109149128,0.109760613,0.363264497,0.276160445,0.098175006,0.482004888,0.475580136,0.127840754,0.455171086,0.196294256,0.343864023,0.346146608,0.35906722,0.361833254,0.359748896,0.347741918,0.374638947,0.347550452,0.364850997,0.371514845,0.142025372,0.138195275,0.072530686,0.076687972,0.078670574,0.080817341,0.080149041,0.185057788,0.081694606,0.203665648,0.185335046,0.09064435,0.198739471,0.211094564,0.199349253,0.199032161,0.178724384,0.211092064,0.198385678,0.198719674,0.214633529,0.208996186,0.192174727,0.21532019,0.588142635,0.326099818,0.590291512,0.358662528,0.367405925,0.588486073,0.340737779,0.589705509,0.55521251,0.549772991,0.367405925,0.342561133,0.554747378,0.551927617,0.039474664,0.029974136,0.030213484,0.030053396,0.033242492,0.038409372,0.044807283,0.048701103,0.031779645,0.023751624,0.048794057,0.003296043,0.030112309,0.029025243,0.039745846,0,0.02053466,0.011731626,0.025099927,0.008741057,0.014685831,0.014056702,0.01183056,0.013871398,0.006212211,0.010931499,0.007501823,0.015225282,0.01302835,0.005685565,0.016707138,0.012125019,0.012921844,0.017620091,0.023405124,0.018866101,0.013708298,0.013797564,0.00799021,0.011097087,0.010625049,0.009044184,0.007582628,0.017663281,0.013069122,0.231372452,0.230141015,0.234570162,0.242877054,0.244322269,0.079301122,0.064144788,0.069586444,0.051284495,0.028811632,0.029849217,0.02565374,0.051184812,0.045617668,0.024620514,0.024619924,0.018101163,0.025629975,0.017300624,0.011175803,0.008298032,0.013349662,0.005427303,0.00640046,0.014107762,0.00450931,0.015279497,0.231915488,0.232079213,0.231102887,0.238854828,0.236434327,0.522968048
QNTR50010,0,0,0.25818469,0.280253978,0.263178479,0.262658163,0.280901329,0.262566081,0.246191153,0.256564387,0.24537564,1,0.263625648,0.582579262,0.721944894,0.673195674,0.76774703,0.012813998,0,0.013287203,0.046719664,0.020598216,0.018066796,0.024136532,0.022009101,0.023252606,0.028541725,0.028698937,0.056623935,0.06116084,0.14781042,0.152923266,0.00372213,0.003742983,0.122513057,0.066998344,0.003998209,0.097544739,0.1071911,0.062476278,0.116078705,0.055559327,0.071552472,0.074069456,0.076966491,0.076787918,0.074246444,0.07322292,0.077521392,0.07172888,0.078219072,0.078935934,0.029777042,0.035559029,0.015791661,0.018874645,0.017128461,0.017263866,0.018103115,0.082611923,0.037516133,0.075892141,0.070708199,0.034681016,0.066535661,0.075876829,0.06448459,0.066827329,0.067885585,0.063174106,0.084484502,0.084693474,0.085948685,0.074398352,0.065734574,0.076650228,0.153639226,0.047081637,0.197841546,0.111760963,0.075570041,0.15214753,0.047245659,0.198194489,0.138678465,0.139591967,0.075570041,0.082548986,0.131780331,0.138459252,0.017970478,0.018058877,0.017507326,0.015892957,0.018817978,0.021742856,0.024607446,0.020716454,0.014898456,0.014174333,0.051697881,0.002665473,0.016364196,0.017678568,0.014062131,0,0.014626606,0.014757917,0.014844825,0.008246926,0.002969066,0.002841874,0.003044122,0.005353875,0,0.003437847,0.002654154,0.002971986,0.001084576,0.003576107,0.003783044,0.004902682,0.001924954,0.007040765,0.006133898,0.00667485,0.006949273,0.00498546,0.003479319,0.005234885,0.008592356,0.006399688,0.007465025,0.004761365,0.011381839,0.074209842,0.070520185,0.075231732,0.079969951,0.082237346,0.128452995,0.131011502,0.112211234,0.126371243,0.065396573,0.077780328,0.061517321,0.153721283,0.115551923,0.074422105,0.071839674,0.012296092,0.014858275,0.016649073,0,0.003613359,0.006571308,0,0.004262571,0.004697736,0.005672532,0.0032035,0.072964695,0.075330619,0.075627647,0.076743114,0.078576791,0.179541215
QNTR50011,0.002114006,0.000684064,0.9574405,0.960637781,0.965034256,0.998195479,0.952390507,0.964793235,0.992478563,0.945473393,0.980051493,0.263625648,1,0.278593262,0.2050075,0.171124533,0.215245623,0.037757351,0.041941545,0.035537681,0.064383826,0.121121407,0.115315391,0.079404301,0.099327907,0.115648047,0.070237536,0.091935641,0.249841818,0.269860007,0.359766408,0.34269881,0.105963109,0.106556744,0.339674156,0.28346819,0.091348104,0.481002706,0.476793793,0.112342566,0.454060644,0.187776168,0.35502745,0.357137799,0.370789134,0.373998534,0.371832919,0.358796497,0.387230102,0.359224728,0.37720724,0.384072186,0.144433792,0.141852191,0.074449989,0.075294795,0.077646492,0.079825514,0.07898735,0.187789023,0.083071477,0.200564007,0.186302998,0.090899129,0.195762001,0.213822482,0.196304529,0.202385631,0.181285626,0.208588144,0.200552797,0.200869048,0.217951809,0.211790805,0.194537695,0.203848891,0.589281578,0.322278985,0.587202321,0.360553941,0.380702878,0.58946987,0.337462679,0.586812719,0.572190536,0.566186141,0.380702878,0.344273073,0.573489293,0.568170077,0.04051924,0.030426209,0.030280401,0.030390195,0.03332597,0.039031501,0.046679434,0.050567746,0.032147834,0.024306704,0.04847823,0.002416617,0.03090914,0.029793308,0.040797598,0,0.021775996,0.012042068,0.025187312,0.010467757,0.015971735,0.01528752,0.013247585,0.015209266,0.006956289,0.012779208,0.008181606,0.016526344,0.014356422,0.005836016,0.016120287,0.012001375,0.012565688,0.017660791,0.023357122,0.018356723,0.013230984,0.013258674,0.008201646,0.011390737,0.010386865,0.008509885,0.006768069,0.018130686,0.012383037,0.231846704,0.230070475,0.234875421,0.246186395,0.248181552,0.080296277,0.065108975,0.070004972,0.053054458,0.029431175,0.030476974,0.026149723,0.054945641,0.049193371,0.024535942,0.024750355,0.018580155,0.025991228,0.017580848,0.012876214,0.008517614,0.014894479,0.00557092,0.006569829,0.01533291,0.004628635,0.016845587,0.232129281,0.232933991,0.23204717,0.239535725,0.240428698,0.5263226
